[1379.5236298879292, 1183.714708574076][566.3493397552089, 439.90906616502474]
[159.71304378080103, 1308.7755456340208][190.0303108119366, 502.44592000284996]
[1166.2574147808568, 409.2365691591586][465.26962064520654, 291.1340990676601]
[1356.4056031575442, 214.71897259473553][543.1835115605893, 221.54061932552588]
[782.1499616592157, 906.9797659567531][284.36664861417773, 365.33550972822496]
[743.1430358933022, 704.116498006004][284.00321685358387, 267.72576358984355]
[693.1384055597339, 685.9262588068833][284.7520039511609, 264.38560874380084]
[692.4268256231624, 614.3978465211682][285.2926675783659, 259.4168575735691]
[692.1949919600679, 699.4420939106038][283.2785083547001, 284.69452008979573]
[699.6907108385449, 547.1170447709128][283.6127227910302, 209.91704317314964]
[702.9904418649364, 631.5819049918917][284.0613056438485, 231.21531549498783]
[726.4449001871249, 782.6004916351759][286.01553392760184, 321.4469387286543]
[7.467540628880409, 1333.7423511432573][160.58435445873488, 505.21109717012126]
[713.0679115539947, 757.0708318008816][283.27884559699316, 308.3373276539374]
[912.3906649395327, 1028.0012860626293][325.33826503236463, 417.3865747582991]
[1430.0663708275201, 6.08862480598636][594.3698218977847, 160.64464160891208]
[711.9114013639926, 676.5594250559137][283.70229511635364, 275.9528540760262]
[1087.4079198730165, 1124.937585425082][385.2271105479285, 416.9697023409328]
[775.1732638710009, 890.708901152382][284.48917652390537, 365.0501154965712]
[941.303456563679, 812.1351642598928][360.3562179358204, 301.19108958058445]
[643.2089330007495, 574.1692087747906][284.0980111504038, 241.41701110019224]
[912.0167646971951, 883.4586831651065][361.16677994075104, 337.18529099754966]
[911.1336505771725, 934.5993632288037][360.953631793668, 383.10025061153164]
[921.7968600034072, 1044.9838753805827][361.509182163864, 423.6959160615847]
[1004.2957054977322, 1133.7143279467816][360.6111693105223, 436.889479175343]
[1003.9433102103482, 1042.0001123401405][384.29339739136185, 416.8894233675165]
[766.2483169602314, 774.820871630108][283.73442158165835, 287.2051049428361]
[900.0456025260017, 925.1490880073111][360.2084777107164, 377.83215998349056]
[796.9275964905436, 939.0258873964755][307.0842878333398, 418.1595698456447]
[969.4679679305749, 1021.0201260542632][361.05932073264063, 396.3349914208811]
[893.7944603591844, 981.1756031771229][360.1933842982618, 417.58171090317444]
[1042.8071548937962, 1088.8494049926962][401.9403222981021, 419.5165285171418]
[741.4669683973837, 768.7991227132728][283.8249008321719, 285.9291411137124]
[937.2077138517814, 945.2907343645045][360.4528093652633, 360.1423236339429]
[745.8126313099373, 827.1756035982322][283.572777928298, 317.60115613211883]
[705.0663828415089, 885.9298108617064][283.97025851513024, 401.5176898761395]
[938.0240157604965, 1016.3902345558613][361.5096692388646, 417.4481960958918]
[950.5880655736589, 856.8270524671501][361.70055007179064, 331.4819651059067]
[907.9151090167818, 995.5701404786543][360.69239838913535, 388.66477467994645]
[1179.9480494272036, 1078.1217492416606][471.51951288192043, 417.30992864144395]
[724.2033060643694, 898.9974427290829][283.4539094342753, 365.2915180484654]
[1425.6875193058866, 1174.033910139653][591.496609679486, 417.06973416507856]
[864.1316359903618, 1005.3310557550554][297.94162600908874, 416.84732127622186]
[687.9967785359701, 657.0290237513781][285.48937273587785, 244.78843857734518]
[0.0, 1307.9848503815974][160.4000000000012, 509.74271403632224]
[978.4777504980551, 892.8766855102458][370.1399757550243, 346.6808494307609]
[1197.7137390394523, 0.0][441.462673690023, 160.4000000000012]
[1310.2235237818122, 373.44825344328723][501.52684186020355, 242.55000313219816]
[769.4609993648165, 911.8082327445924][283.69466755790086, 367.7552117284846]
[979.3122731443808, 830.555241692858][441.8441314755111, 348.57644630785705]
[781.8844014697503, 993.7041018739636][284.7301818367799, 423.09764142555713]
[892.6570782942038, 884.8128954480303][360.49032063425693, 368.17931756400947]
[880.157359176818, 783.3536876462217][361.6965707048999, 320.6223280438443]
[893.1166939467231, 838.2937574937977][360.28195323222843, 353.25149998926247]
[911.7958358723007, 962.7982027475252][360.8341387252277, 373.6799948818312]
[1306.0980615159965, 847.0329447407398][495.00843282798985, 372.6970067568359]
[918.7522138198526, 842.5062385165229][362.47049247081685, 315.77275402626043]
[825.8794401214092, 866.9256765767844][307.475905274876, 348.5938484713287]
[1241.2090481145644, 703.9863269075677][445.96097623124, 324.749477373101]
[866.0119966325123, 949.5707046890905][366.6200674984536, 419.3769849118445]
[1321.0813810000325, 1006.1472151152245][508.2354280221598, 367.2014376406403]
[856.1268916311512, 1012.6846516280566][318.33343565484915, 417.89141629961637]
[18.460572253585845, 1301.4021634861742][161.72532064103535, 508.60368311285237]
[859.3517645453442, 883.1902049977652][361.68885538444215, 354.6252378313833]
[1248.3638985149034, 1103.5698828105237][502.9841535683917, 408.9479617996826]
[1206.6735773151154, 995.065399252182][516.4530190013119, 407.16170880356214]
[1137.1250764420563, 1111.5274888663191][464.14539201791376, 417.163352136897]
[259.8191604734248, 1467.640291447033][234.055672243529, 617.5275405914176]
[12.463763824115922, 1372.9538211499844][160.66441720804178, 537.9617416047258]
[570.5012573459462, 680.0994834892075][240.44608109153813, 289.4028025226919]
[120.03974471049378, 1239.511124467806][182.9007668301609, 480.54591706132226]
[960.9296241913, 1021.7119339589632][360.14852839750074, 409.1883315280451]
[660.119288646713, 883.400021582682][259.6091698920275, 416.85777814471714]
[610.0748196847561, 812.3087615873465][225.71495105168597, 346.8341249760303]
[1111.6199031501017, 857.398106739873][516.8188903961151, 328.7655513588343]
[1047.898924883969, 1010.5006451748613][445.47999287239213, 407.1244616417664]
[1016.3656747300149, 1024.629070041855][440.67255026928103, 418.2746029871192]
[978.243315254439, 855.605348409554][420.5504795575666, 346.81892882574516]
[952.4821099662493, 967.5162648718575][397.6175198702014, 408.66826773548553]
[643.7707285146251, 653.7090432206151][285.9747326110493, 289.1322152479949]
[1395.3159604414343, 329.5104978692873][550.7083204874419, 259.50358129587266]
[692.3929218000441, 634.5978208417154][283.6977665776687, 270.8990374390876]
[747.889160965836, 665.7721827940334][373.8837414762459, 289.3160530456123]
[1359.8238258603387, 712.976050650596][526.1945448877397, 371.28872222946393]
[357.99099340552795, 1514.7249646067382][280.0498888766879, 643.7221225017994]
[694.380720426571, 681.0056321438286][307.6852288735092, 290.1537562547273]
[565.5274419360253, 677.0429847041644][261.7203455374957, 347.0861847084727]
[225.4822287986135, 1565.3172587596366][216.42921746333172, 679.6214439133576]
[820.7098215944717, 870.5442134594774][360.201627072272, 413.5831566008631]
[595.9616765937254, 517.346282840231][283.7041229965136, 195.33933540431025]
[1045.2727832122857, 957.1132935503331][508.2804123221267, 407.1032122051561]
[749.036418557467, 721.1169593644844][367.83635904321574, 356.77986429005983]
[763.7039310559558, 814.6778307716596][379.4716771678313, 419.132612019208]
[452.331573959597, 541.9419552300509][195.49922721569465, 288.1163702308934]
[583.7305306489579, 550.911918955][284.22189899515274, 274.8355439374388]
[668.7259799803738, 678.5040430901115][314.00469827473177, 356.57957491504]
[1068.331676016922, 637.7534933372027][534.0701630880043, 343.9441109582611]
[602.0082531449917, 555.0962112319587][333.9337499374288, 288.2477277143939]
[586.6572800558009, 574.0386578509233][305.6520690163371, 289.761700762924]
[732.126254540901, 759.5745935674917][384.92302775454175, 416.8218086217628]
[738.3547184029875, 758.017727685424][398.70741097071107, 418.5171614259035]
[654.8663851483627, 744.2289921628421][323.58029401448897, 406.8011323472778]
[1011.3870187104395, 488.0518401977251][533.4715552991568, 312.6797628734321]
[759.8601366980961, 742.2577966873813][431.8919928264398, 409.29238105676706]
[684.5597643588894, 698.241009802812][390.86326195465773, 408.35158882250937]
[637.0967790750386, 611.3677704915305][360.6674312952021, 320.62947542678245]
[667.2588965852192, 1641.5065317437275][438.1917793320901, 965.0482535444595]
[665.2770703974305, 698.8566552785363][380.9389040150139, 417.133024702855]
[678.6212738123315, 631.5270286886836][408.56230627300306, 358.41846396010146]
[703.6565981834724, 716.2380033144908][406.34468397026643, 419.5026920571984]
[803.1713876186565, 1453.0864197869078][514.9351796550297, 874.5670441769826]
[607.4613184849982, 630.0301658058689][361.8725222330424, 368.1978294562505]
[590.0178751218147, 564.7948048914129][362.9023648087257, 328.011257451082]
[559.8276687175677, 558.1646482468567][332.3250225139765, 329.4526507838071]
[603.8602453362951, 632.4154106940849][361.8587235001341, 380.53690441879576]
[600.2101794032726, 618.5490633913015][362.33161774684567, 371.03052167210035]
[644.0505660474402, 606.3600642406053][395.0267570435619, 358.6397032387078]
[606.4279572880704, 1362.70984620917][428.3184770365782, 828.1599751629011]
[495.4360068908715, 485.7321143799196][303.6234951888963, 289.54351087043455]
[590.4001666821991, 582.5518529085937][351.88630929890155, 358.10212777975636]
[723.4887504127148, 1442.3616926201116][497.1703203243841, 897.2870634888285]
[879.0514098930181, 528.1613181045028][535.4582059295562, 344.42266022834684]
[579.9122750592288, 576.6403326955472][349.3297528557619, 358.87528791611777]
[592.0008434892145, 572.40955077509][370.9582688359578, 347.4877911006718]
[659.9690705917075, 663.0943786972412][405.68973090209323, 408.00231078310986]
[869.1263457689685, 530.8667005142053][534.6193162453992, 345.82483664365446]
[664.4419482292178, 675.2497200902949][406.4708243039512, 418.02028901548516]
[565.477767802609, 545.4483262695534][356.05410769047086, 329.83661726041265]
[552.3604436416407, 541.1949771617295][344.8289734717285, 330.9381554306353]
[700.3058243764759, 677.5176606627654][440.4476489739307, 407.66131420417537]
[665.9785550034854, 667.9253852139252][403.98238334712255, 406.72232767264995]
[655.2152644792687, 592.9641829870845][402.42130042916466, 327.3692438740875]
[648.8215187427162, 677.713392516509][373.20246233452826, 408.09820308044726]
[695.4106338348691, 686.5216085402889][421.2593054329622, 407.80327899524224]
[665.2363024987459, 675.8429834771765][404.3613854108472, 419.58508755229934]
[932.5487615225826, 1493.5340480819561][614.4713367220971, 921.2389268182802]
[610.2939237493238, 595.1475253055391][351.8414251964868, 358.20061825545787]
[870.3236099579645, 487.2641514672862][533.5800942347718, 300.03132455024723]
[612.7952048920253, 600.8177850751969][361.65631346272363, 356.6592222747004]
[611.8830574017502, 592.8273839292275][363.58031808667903, 358.84911392335647]
[783.6229623302688, 1610.2027730762243][524.2981963398466, 981.9834002205006]
[618.1353459264109, 638.9243782087926][363.6521275040721, 379.1596052068388]
[497.3343920116338, 491.3467891926368][294.85336572488524, 290.9041708350214]
[725.7182180064893, 702.4617097688234][439.9101370029512, 407.23454471694066]
[494.0506532206629, 499.02566456038096][289.4430468139125, 288.5918669765123]
[1566.3513553679506, 722.2930569816435][946.4355194178186, 490.8607330909447]
[492.09468782049385, 480.0697275620586][284.09929326995666, 267.9028273321077]
[784.1022109326827, 1600.6863561858263][529.1794660031284, 955.5346072679855]
[670.7881489278967, 1572.700877071935][452.19071870173156, 944.931224449558]
[658.671744858052, 725.4072306545095][362.7008727400853, 443.31888404363474]
[894.9055879546406, 526.1083054363189][534.2625074310033, 318.484379478273]
[790.837919645438, 1654.6307819974045][528.4885881677624, 993.4013695198042]
[627.3615334435906, 597.2849697937543][362.71850510251676, 348.47233214820506]
[704.7088605751062, 704.4532987468108][423.14018047415885, 420.2710704046684]
[910.2092801886678, 560.4080485586991][534.0015132946291, 351.3084655768242]
[922.5646653338413, 546.0347303019399][533.8479390471139, 326.02941960199]
[711.9070170044143, 724.5499304112578][405.7013110638255, 420.35763688746243]
[910.6424279785583, 535.0628335451117][533.8395468969152, 328.5731116291938]
[599.7021502426867, 547.937855347333][353.3790003569887, 288.2349821844031]
[789.3105319147198, 713.7685277278164][445.1673913004924, 347.19774843649776]
[562.0196158123232, 530.1095495767241][328.30044682887564, 290.63778181325154]
[599.7146823350797, 575.8265784663669][314.53268542663386, 288.6765664348209]
[565.3508746674748, 605.631628990014][294.426145443644, 356.8302234479727]
[615.9298986523373, 616.3510352880068][354.0080273529624, 348.26727938682797]
[922.7210328098414, 567.5141874312727][532.4215694456841, 344.6308851131555]
[620.2007280844097, 631.76629872233][336.80540134699805, 359.21034010229414]
[1651.4996305018153, 574.3373067070837][955.2041261508863, 369.3380803924144]
[680.046859570509, 676.4616075061224][362.0940785733713, 359.5036098737785]
[676.999341243633, 655.3953437717485][386.71685531059325, 349.6836303811878]
[543.0286058060425, 606.633017784914][283.29212726548326, 358.7479261350249]
[483.7657702464687, 500.6843229511483][264.068148013737, 287.9172161372407]
[1534.5835323653168, 609.8949782006484][867.5454070874457, 419.0013261625225]
[661.995979619958, 635.4624894750043][363.85793374218514, 330.86907033400803]
[987.9674145962052, 872.9076596817748][560.7395939427677, 418.586909580383]
[804.5897134558844, 722.8424202399111][440.3186882922692, 357.74345877201756]
[741.0062998470893, 741.8035336690567][402.8143542510816, 407.1360405855324]
[599.3244102894836, 620.0553834223684][303.0781211666769, 327.52452578251064]
[806.1744002251328, 764.8467675951143][449.82214226428215, 408.00231890939847]
[599.0481093727027, 604.998108305155][303.7597237794407, 329.4656739433987]
[539.7720990076575, 509.2050204611739][284.3564792661671, 245.74479921207083]
[750.9458167012627, 815.6849369607341][345.2343755191809, 418.30393765277887]
[731.0017334660308, 726.5190253371601][348.0258042607738, 347.4426311603818]
[595.7382832498377, 604.3255082757763][284.7924356916292, 288.2432655811079]
[1836.2652159897275, 807.8226888590572][911.7306643128777, 426.39591284268533]
[786.7564539102177, 811.7994726706537][391.83751764139913, 418.1184796167605]
[529.1879033676422, 509.01547217813146][283.6696702189269, 255.74473056649995]
[1041.8832337392162, 642.9110968571301][532.72362603931, 324.4317685595616]
[1100.529604055691, 707.6722319403999][533.1145873561079, 365.63998206255616]
[663.7914944186912, 1755.708035355891][436.88677809201744, 831.6319463500995]
[794.6893747644838, 803.159213585516][391.1524465841875, 407.44756183971873]
[725.5820817128683, 707.6632480296468][345.5590231039174, 347.7741008414564]
[723.0902735814049, 688.4848302169671][373.04270886414076, 327.653423476992]
[536.5161939801313, 653.77212469374][230.1090096587269, 357.74875558557636]
[676.0307582347815, 679.2294400179579][318.9349787475849, 327.7630448883531]
[914.7004240144021, 1703.6757084444487][516.8532577453643, 787.9772827517066]
